release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	SRR21714353	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	2391	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21714354	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	286	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR21714355	GSE214231	human	PacBio	scPacBio	Cell therapy	Long-read profiling of engineered CAR T-cell constructs and states	unclassified	done	0	min_genes>=200	584	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR23271781	GSE224045	human	ONT	bulk-longread	Cell-line benchmark	Mixture of H2228, H1975, A549, H838 and HCC827 cells	wf-single-cell	done	8756	wf_tagged_barcodes	54954	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR26865982	GSE248118	human	ONT	scONT	Cell-line benchmark	PromethION mixture of IGROV1, SK-OV-3 and COV504 cells	wf-single-cell	done	2331	wf_tagged_barcodes	63178	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27237241	GSE250381	mouse	PacBio	scPacBio	Developmental atlas	HIT-scISOseq profiling across preimplantation development	unclassified	done	17	min_genes>=200	10409	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27237242	GSE250381	mouse	PacBio	scPacBio	Developmental atlas	HIT-scISOseq profiling across preimplantation development	unclassified	done	88	min_genes>=200	18948	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27237243	GSE250381	mouse	PacBio	scPacBio	Developmental atlas	HIT-scISOseq profiling across preimplantation development	unclassified	done	87	min_genes>=200	17218	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27237244	GSE250381	mouse	PacBio	scPacBio	Developmental atlas	HIT-scISOseq profiling across preimplantation development	unclassified	done	51	min_genes>=200	16764	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27405402	GSE252344	human	PacBio	scPacBio	Clinical cohort	Targeted single-cell transcript resequencing in follicular lymphoma	unclassified	done	45	min_genes>=200	15624	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27406895	GSE252416	human	PacBio	scPacBio	Clinical cohort	Targeted genotype-to-transcript profiling in follicular lymphoma	starsolo-cellranger	done	0	min_genes>=200	7929	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27935476	GSE255520	mouse	ONT	scONT	Tissue atlas	Retina and retinal ganglion cell isoform transcriptomes	wf-single-cell	done	2396	wf_tagged_barcodes	21414	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27935477	GSE255520	mouse	ONT	scONT	Tissue atlas	Retina and retinal ganglion cell isoform transcriptomes	wf-single-cell	done	6398	wf_tagged_barcodes	22581	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR27935479	GSE255520	mouse	ONT	scONT	Tissue atlas	Retina and retinal ganglion cell isoform transcriptomes	wf-single-cell	done	2895	wf_tagged_barcodes	20017	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR30166096	GSE274249	human	ONT	scONT	Differentiation	Long-read isoform profiles across cortical-layer neuronal differentiation	wf-single-cell	done	8736	wf_tagged_barcodes	61055	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR30166097	GSE274249	human	ONT	scONT	Differentiation	Long-read isoform profiles across cortical-layer neuronal differentiation	wf-single-cell	done	8776	wf_tagged_barcodes	33683	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR30166098	GSE274249	human	ONT	scONT	Differentiation	Long-read isoform profiles across cortical-layer neuronal differentiation	wf-single-cell	done	8730	wf_tagged_barcodes	67069	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR30166099	GSE274249	human	ONT	scONT	Differentiation	Long-read isoform profiles across cortical-layer neuronal differentiation	wf-single-cell	done	8731	wf_tagged_barcodes	34012	annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR30209150	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209151	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209152	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209153	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209154	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209155	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209156	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209158	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
scTHREAD_NAR_release_20260803	SRR30209159	GSE274527	mouse	ONT	bulk-longread	Developmental atlas	Individually indexed cells spanning endothelial-to-hematopoietic transitions	EXCLUDE	done	1	smartseq2_one_well		annotated	author_cell_type	
