release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR21492155	GSE212945	human	ONT	8429	True	52177	True	840001	True	4773777	True	834139105	True	222704668	True	1356699818	True	1522680	True	626010	True	3473733	True	23599993	True	271389	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21492156	GSE212945	human	ONT	3690	True	50813	True	843407	True	4776878	True	967055021	True	253290868	True	1409631331	True	4197022	True	631615	True	2344040	True	17474185	True	248429	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21492157	GSE212945	human	ONT	3587	True	41320	True	836346	True	4765119	True	415794817	True	203314396	True	1369542967	True	1986349	True	519945	True	2229653	True	12299146	True	238157	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR34318914	GSE212945	human	ONT	3672	True	49600	True	839096	True	4771595	True	780997629	True	226712547	True	1355120870	True	1370480	True	572745	True	3756109	True	21150506	True	205876	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR34318915	GSE212945	human	ONT	4059	True	28873	True	828543	True	4756059	True	234394794	True	138692311	True	1343040238	True	618167	False	0	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21714350	GSE214231	human	PacBio	0	True	868	True	811143	True	4746308	True	9065418	True	9423139	True	1339358900	True	111872	True	17289	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21714351	GSE214231	human	PacBio	0	True	810	True	811107	True	4746300	True	7104868	True	8818975	True	1339122765	True	95198	True	17468	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21714352	GSE214231	human	PacBio	0	True	631	True	811031	True	4746270	True	4610193	True	7040289	True	1338859102	True	75108	True	14669	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21714353	GSE214231	human	PacBio	0	True	2391	True	811537	True	4746470	True	7000068	True	27067623	True	1340201980	True	199694	True	38792	False	0	False	0	False	0	isoquant_core_complete
scTHREAD_NAR_release_20260803	SRR21714354	GSE214231	human	PacBio	0	True	286	True	810868	True	4746205	True	1670403	True	3671709	True	1338127176	True	22743	True	8041	False	0	False	0	False	0	isoquant_core_complete
