gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
FAM167A	15.0	8.0	11.0	1176.0	0.5289115646258503	0.49237592137799935	0.03653564324785097	0.012206608561748905	0.01928675081663156	False	True
PIK3R6	23.0	6.0	11.0	3127.0	0.5004796929964822	0.4782332002499803	0.022246492746501922	0.012760289138641025	0.02010046388187327	False	True
SMIM27	18.0	10.0	11.0	1197.0	0.5154553049289892	0.479510481084307	0.03594482384468217	0.01279925388427488	0.020156750739967363	False	True
GRID2IP	17.0	8.0	11.0	898.0	0.5200445434298441	0.47859336398010227	0.041451179449741804	0.012897546846673666	0.0203072724516389	False	True
ENSG00000264968	21.0	8.0	11.0	1063.0	0.5296331138287864	0.4919555255768519	0.03767758825193451	0.01400347783614205	0.02192493297230844	False	True
ENSG00000242880	20.0	8.0	11.0	2563.0	0.4646898166211471	0.48892033218563574	-0.02423051556448863	0.014127909346891308	0.022112350061239835	False	True
C1QL1	15.0	6.0	11.0	1534.0	0.4556714471968709	0.4868758444345478	-0.031204397237676873	0.01447859695919896	0.022626209390545028	False	True
TRIM6	21.0	9.0	11.0	1562.0	0.5192061459667093	0.48840129115537834	0.030804854811330995	0.014866977675455547	0.023178792694421135	False	True
NKX3-1	16.0	8.0	11.0	691.0	0.447178002894356	0.49303305604502823	-0.04585505315067223	0.015908564134095252	0.02469685602577378	False	True
SLC25A20	20.0	6.0	11.0	4605.0	0.4770901194353963	0.4947957994197787	-0.017705679984382383	0.016254501340080257	0.025189999902211938	False	True
LINC02694	35.0	11.0	11.0	5637.0	0.464608834486429	0.48059120949047535	-0.015982375004046367	0.016318094761414683	0.025278082039429075	False	True
ENSG00000267152	20.0	9.0	11.0	1394.0	0.44763271162123386	0.4793214328814264	-0.031688721260192565	0.01786974641810769	0.027528989263124273	False	True
ENSG00000285520	16.0	8.0	11.0	1525.0	0.4583606557377049	0.4885853859605826	-0.030224730222877694	0.01821382667974621	0.0280267458450629	False	True
ANKRD33B	36.0	11.0	11.0	12726.0	0.4911991199119912	0.48079824731339194	0.010400872598599287	0.018855862332023004	0.028948015639597913	False	True
ZNF131	47.0	11.0	11.0	39403.0	0.4783138339720326	0.48421560445999917	-0.005901770487966584	0.019068272108494596	0.029248909517027112	False	True
LRP2	16.0	6.0	11.0	5145.0	0.4736637512147716	0.48989517885890854	-0.01623142764413693	0.01985945654214361	0.030382792219672192	False	True
KCNJ12	20.0	8.0	11.0	1167.0	0.45672664952870606	0.49073577679963615	-0.034009127270930084	0.020125681176363614	0.030753618999944644	False	True
ENSG00000232063	23.0	8.0	11.0	1685.0	0.5068249258160238	0.4785618194699941	0.028263106346029687	0.02020784471049715	0.030871606297956426	False	True
APOL4	19.0	7.0	11.0	1214.0	0.4546952224052718	0.487882680120341	-0.033187457715069146	0.020703535020320542	0.03156314737125308	False	True
ENSG00000287352	16.0	7.0	11.0	5934.0	0.47489046174587124	0.48989367027795	-0.01500320853207876	0.02078096440115092	0.031676027991080484	False	True
CCDC153	15.0	6.0	11.0	628.0	0.5191082802547771	0.47306060774982145	0.04604767250495562	0.02081850495110926	0.03172572725329627	False	True
CACNA1E	19.0	6.0	11.0	2810.0	0.4697508896797153	0.49151788015442327	-0.02176699047470798	0.020996701246690935	0.03198272104974724	False	True
ENSG00000290971	21.0	9.0	11.0	1189.0	0.5222876366694701	0.48898654580533146	0.03330109086413863	0.02161159869969768	0.03284713674896164	False	True
ENSG00000262833	22.0	8.0	11.0	1192.0	0.45302013422818793	0.4860942688720285	-0.03307413464384057	0.02233182754777194	0.033863391736236	False	True
ENSG00000236064	23.0	12.0	11.0	2168.0	0.4672509225092251	0.4916004166446663	-0.024349494135441185	0.023339451759587012	0.03525273858887199	False	True
PDGFB	19.0	10.0	11.0	1767.0	0.46745897000565934	0.49420637711321713	-0.026747407107557797	0.02452249358204851	0.03689072001014615	False	True
TBX2	20.0	6.0	11.0	1730.0	0.5219653179190752	0.4949515799196641	0.02701373799941109	0.024621251742487214	0.03703333201789585	False	True
SLC35A4	25.0	9.0	11.0	4849.0	0.49865951742627346	0.482651389809692	0.016008127616581436	0.025695207084320888	0.03851861745502088	False	True
HOXA4	11.0	7.0	11.0	906.0	0.44370860927152317	0.48070051078592735	-0.03699190151440418	0.025843132005621272	0.038731054836383734	False	True
SEC14L5	21.0	5.0	11.0	2293.0	0.5167902311382468	0.4936565942169311	0.02313363692131576	0.02671207790231265	0.03988794678779645	False	True
TSPAN16	20.0	8.0	11.0	1095.0	0.4949771689497717	0.46200207166444435	0.032975097285327326	0.028620615203100316	0.042534172141086686	False	True
ENSG00000230741	12.0	3.0	11.0	804.0	0.5348258706467661	0.4962402231160955	0.03858564753067062	0.028651707008147693	0.04257023340917504	False	True
ATOX1	12.0	7.0	11.0	872.0	0.5160550458715596	0.4790683568998587	0.036986688971700876	0.028791886243618663	0.04276152841398032	False	True
ENSG00000290728	27.0	13.0	11.0	1428.0	0.5056022408963585	0.476895509832704	0.02870673106365451	0.02986238458347116	0.04422852977557491	False	True
TAS2R10	11.0	7.0	11.0	813.0	0.44649446494464945	0.4840841421740723	-0.03758967722942286	0.03197784801232349	0.04714335408728017	False	True
MACROD1	43.0	12.0	11.0	7280.0	0.4766483516483517	0.4892028594122193	-0.012554507763867628	0.03212320865566193	0.04733340626384653	False	True
ENSG00000264304	16.0	10.0	11.0	1269.0	0.5035460992907801	0.4735935081749998	0.029952591115780303	0.03259911293730437	0.047966643485498	False	True
KLF11	18.0	7.0	11.0	1611.0	0.46617008069522037	0.49278029853143046	-0.026610217836210093	0.032651268961341545	0.04803394126483678	False	True
ENSG00000276533	17.0	8.0	11.0	1380.0	0.4920289855072464	0.46352932813205355	0.028499657375192833	0.0337466482517097	0.04953436031140519	False	True
ISCA2	17.0	9.0	11.0	1145.0	0.4550218340611354	0.48636094217283393	-0.031339108111698544	0.03386415636557996	0.049691901708408204	False	True
RLBP1	17.0	7.0	11.0	924.0	0.4383116883116883	0.4731031789210719	-0.03479149060938358	0.0341575816979802	0.05006094712796934	False	True
PSEN1	38.0	13.0	11.0	24528.0	0.4979615133724723	0.4912021710450704	0.006759342327401885	0.03421357956082012	0.05013564879613556	False	True
CCDC28B	19.0	7.0	11.0	3645.0	0.4710562414266118	0.4885103462274432	-0.017454104800831427	0.03502241281813782	0.0511900763962273	False	True
KIF3C	22.0	9.0	11.0	4128.0	0.4752906976744186	0.4915484409604876	-0.016257743286068993	0.036671487864083446	0.05340900216303598	False	True
TSKU-AS1	15.0	8.0	11.0	965.0	0.5243523316062176	0.49101163421874305	0.03334069738747458	0.038288241092043825	0.05559095521935379	False	True
SOAT1	31.0	10.0	11.0	14228.0	0.4731515321900478	0.48179324172607246	-0.008641709536024667	0.03911692628379858	0.056689770186633764	False	True
EPHX1	36.0	10.0	11.0	8291.0	0.4765408274032083	0.487825531225683	-0.011284703822474706	0.0398147925742233	0.057620796973835334	False	True
EIF3CL	16.0	6.0	11.0	986.0	0.4563894523326572	0.4889290908740639	-0.03253963854140668	0.040950399129079294	0.05915215749418971	False	True
PCDH18	19.0	8.0	11.0	4857.0	0.505456042824789	0.4908100150208955	0.014646027803893458	0.04117414001986825	0.059461573600562395	False	True
VDR	21.0	8.0	11.0	2865.0	0.4907504363001745	0.47174901352477566	0.019001422775398846	0.04161163037907071	0.06002849902193594	False	True
ENSG00000240591	13.0	6.0	11.0	974.0	0.5174537987679672	0.48514605418649437	0.032307744581472786	0.04364612094913759	0.06273364893058211	False	True
TUBA8	34.0	14.0	11.0	3313.0	0.4669483851494114	0.48440656226755896	-0.017458177118147566	0.044355375040691356	0.06365282130820293	False	True
ENSG00000289507	16.0	8.0	11.0	1324.0	0.5113293051359517	0.4838944582645068	0.027434846871444873	0.04576332803544505	0.06549496685331356	False	True
ENSG00000266578	17.0	9.0	11.0	2829.0	0.4708377518557794	0.48935941484660395	-0.018521662990824528	0.04875596936078714	0.069477627728285	False	True
ENSG00000233635	44.0	13.0	11.0	10316.0	0.49767351686700273	0.4880019503276593	0.009671566539343424	0.049390673498343377	0.07029908505879398	False	True
C3AR1	17.0	6.0	11.0	834.0	0.4412470023980815	0.4752161187146699	-0.03396911631658839	0.04948292411515857	0.07041967235056323	False	True
ENSG00000243415	14.0	7.0	11.0	726.0	0.5316804407713499	0.4952311975885036	0.036449243182846314	0.04949596251270273	0.07043554835740046	False	True
ASPHD2	21.0	9.0	11.0	1372.0	0.4577259475218659	0.48413757885920233	-0.026411631337336428	0.050278564431856874	0.07145954371198196	False	True
OSBPL9	37.0	10.0	11.0	35070.0	0.48272027373823784	0.48793149542089537	-0.00521122168265753	0.050893307085029815	0.07223721868688887	False	True
ENSG00000261770	12.0	7.0	11.0	517.0	0.5319148936170213	0.48899900298571874	0.04291589063130252	0.05092821170338788	0.07228127763000748	False	True
ENSG00000289067	11.0	8.0	11.0	397.0	0.4433249370277078	0.4913562313742842	-0.04803129434657638	0.05557933191603966	0.07825615111724774	False	True
MAML1	41.0	11.0	11.0	18850.0	0.4749602122015915	0.48191043344772333	-0.006950221246131816	0.05616982796038924	0.07901026779720904	False	True
CSDC2	23.0	8.0	11.0	6229.0	0.5087493979772034	0.49684098701578056	0.011908410961422866	0.06014124322111838	0.08415050916672191	False	True
KPNA6	35.0	10.0	11.0	19223.0	0.49050616449045414	0.483734907682802	0.006771256807652171	0.06029590654139392	0.08434168323785904	False	True
